cidade,data,temperatura,descricao,nuvens,dados_climaticos_id
Rio Branco,2024-06-02 00:00:00,26,algumas nuvens,13,3662574
Rio Branco,2024-06-02 03:00:00,24,céu limpo,7,3662574
Rio Branco,2024-06-02 06:00:00,21,céu limpo,0,3662574
Rio Branco,2024-06-02 09:00:00,20,céu limpo,0,3662574
Rio Branco,2024-06-02 12:00:00,22,céu limpo,3,3662574
Rio Branco,2024-06-02 15:00:00,30,nublado,80,3662574
Rio Branco,2024-06-02 18:00:00,34,nublado,63,3662574
Rio Branco,2024-06-02 21:00:00,31,nuvens dispersas,25,3662574
Rio Branco,2024-06-03 00:00:00,25,nublado,58,3662574
Rio Branco,2024-06-03 03:00:00,24,nuvens dispersas,31,3662574
Rio Branco,2024-06-03 06:00:00,22,nuvens dispersas,29,3662574
Rio Branco,2024-06-03 09:00:00,22,nublado,65,3662574
Rio Branco,2024-06-03 12:00:00,24,nuvens dispersas,49,3662574
Rio Branco,2024-06-03 15:00:00,31,nublado,100,3662574
Rio Branco,2024-06-03 18:00:00,34,nublado,95,3662574
Rio Branco,2024-06-03 21:00:00,32,algumas nuvens,24,3662574
Rio Branco,2024-06-04 00:00:00,27,nuvens dispersas,25,3662574
Rio Branco,2024-06-04 03:00:00,24,nublado,79,3662574
Rio Branco,2024-06-04 06:00:00,23,nublado,62,3662574
Rio Branco,2024-06-04 09:00:00,21,nublado,66,3662574
Rio Branco,2024-06-04 12:00:00,23,nublado,84,3662574
Rio Branco,2024-06-04 15:00:00,31,nublado,60,3662574
Rio Branco,2024-06-04 18:00:00,34,nublado,51,3662574
Rio Branco,2024-06-04 21:00:00,32,nuvens dispersas,35,3662574
Rio Branco,2024-06-05 00:00:00,26,nuvens dispersas,45,3662574
Rio Branco,2024-06-05 03:00:00,25,céu limpo,0,3662574
Rio Branco,2024-06-05 06:00:00,23,algumas nuvens,23,3662574
Rio Branco,2024-06-05 09:00:00,22,nublado,59,3662574
Rio Branco,2024-06-05 12:00:00,24,nublado,57,3662574
Rio Branco,2024-06-05 15:00:00,32,nuvens dispersas,47,3662574
Rio Branco,2024-06-05 18:00:00,33,nublado,66,3662574
Rio Branco,2024-06-05 21:00:00,31,nublado,85,3662574
Rio Branco,2024-06-06 00:00:00,25,nublado,58,3662574
Rio Branco,2024-06-06 03:00:00,25,nublado,72,3662574
Rio Branco,2024-06-06 06:00:00,26,nublado,88,3662574
Rio Branco,2024-06-06 09:00:00,22,nublado,86,3662574
Rio Branco,2024-06-06 12:00:00,23,nublado,82,3662574
Rio Branco,2024-06-06 15:00:00,31,nublado,92,3662574
Rio Branco,2024-06-06 18:00:00,35,nublado,78,3662574
Rio Branco,2024-06-06 21:00:00,33,nuvens dispersas,50,3662574
Macapá,2024-06-02 00:00:00,27,chuva leve,31,3396016
Macapá,2024-06-02 03:00:00,26,chuva leve,21,3396016
Macapá,2024-06-02 06:00:00,25,chuva leve,21,3396016
Macapá,2024-06-02 09:00:00,24,chuva leve,42,3396016
Macapá,2024-06-02 12:00:00,26,chuva leve,34,3396016
Macapá,2024-06-02 15:00:00,29,chuva leve,21,3396016
Macapá,2024-06-02 18:00:00,30,algumas nuvens,22,3396016
Macapá,2024-06-02 21:00:00,27,chuva leve,28,3396016
Macapá,2024-06-03 00:00:00,26,chuva leve,36,3396016
Macapá,2024-06-03 03:00:00,25,chuva leve,97,3396016
Macapá,2024-06-03 06:00:00,24,chuva leve,83,3396016
Macapá,2024-06-03 09:00:00,24,chuva moderada,58,3396016
Macapá,2024-06-03 12:00:00,27,chuva leve,39,3396016
Macapá,2024-06-03 15:00:00,29,chuva leve,100,3396016
Macapá,2024-06-03 18:00:00,29,chuva leve,72,3396016
Macapá,2024-06-03 21:00:00,26,chuva moderada,25,3396016
Macapá,2024-06-04 00:00:00,25,chuva moderada,45,3396016
Macapá,2024-06-04 03:00:00,25,chuva moderada,93,3396016
Macapá,2024-06-04 06:00:00,24,chuva moderada,96,3396016
Macapá,2024-06-04 09:00:00,25,chuva moderada,100,3396016
Macapá,2024-06-04 12:00:00,26,nublado,93,3396016
Macapá,2024-06-04 15:00:00,29,chuva leve,33,3396016
Macapá,2024-06-04 18:00:00,29,chuva leve,22,3396016
Macapá,2024-06-04 21:00:00,27,chuva moderada,12,3396016
Macapá,2024-06-05 00:00:00,25,chuva leve,10,3396016
Macapá,2024-06-05 03:00:00,25,chuva moderada,18,3396016
Macapá,2024-06-05 06:00:00,25,chuva leve,18,3396016
Macapá,2024-06-05 09:00:00,25,chuva leve,15,3396016
Macapá,2024-06-05 12:00:00,26,chuva leve,14,3396016
Macapá,2024-06-05 15:00:00,28,chuva leve,10,3396016
Macapá,2024-06-05 18:00:00,28,chuva leve,8,3396016
Macapá,2024-06-05 21:00:00,28,chuva leve,2,3396016
Macapá,2024-06-06 00:00:00,26,céu limpo,2,3396016
Macapá,2024-06-06 03:00:00,25,chuva leve,7,3396016
Macapá,2024-06-06 06:00:00,25,chuva leve,11,3396016
Macapá,2024-06-06 09:00:00,24,chuva leve,11,3396016
Macapá,2024-06-06 12:00:00,26,nuvens dispersas,35,3396016
Macapá,2024-06-06 15:00:00,28,nublado,90,3396016
Macapá,2024-06-06 18:00:00,30,nublado,83,3396016
Macapá,2024-06-06 21:00:00,27,chuva leve,61,3396016
Manaus,2024-06-02 00:00:00,25,chuva leve,35,3663517
Manaus,2024-06-02 03:00:00,24,chuva leve,67,3663517
Manaus,2024-06-02 06:00:00,24,nublado,83,3663517
Manaus,2024-06-02 09:00:00,24,nublado,100,3663517
Manaus,2024-06-02 12:00:00,24,nublado,100,3663517
Manaus,2024-06-02 15:00:00,30,nublado,75,3663517
Manaus,2024-06-02 18:00:00,31,chuva leve,51,3663517
Manaus,2024-06-02 21:00:00,27,chuva leve,45,3663517
Manaus,2024-06-03 00:00:00,25,chuva leve,73,3663517
Manaus,2024-06-03 03:00:00,24,chuva leve,100,3663517
Manaus,2024-06-03 06:00:00,24,nublado,98,3663517
Manaus,2024-06-03 09:00:00,24,nuvens dispersas,41,3663517
Manaus,2024-06-03 12:00:00,25,nublado,69,3663517
Manaus,2024-06-03 15:00:00,30,nublado,100,3663517
Manaus,2024-06-03 18:00:00,30,chuva leve,81,3663517
Manaus,2024-06-03 21:00:00,27,chuva leve,52,3663517
Manaus,2024-06-04 00:00:00,25,chuva leve,45,3663517
Manaus,2024-06-04 03:00:00,24,nuvens dispersas,47,3663517
Manaus,2024-06-04 06:00:00,24,nublado,73,3663517
Manaus,2024-06-04 09:00:00,23,nublado,100,3663517
Manaus,2024-06-04 12:00:00,25,nublado,95,3663517
Manaus,2024-06-04 15:00:00,31,nublado,95,3663517
Manaus,2024-06-04 18:00:00,32,chuva leve,71,3663517
Manaus,2024-06-04 21:00:00,29,chuva leve,17,3663517
Manaus,2024-06-05 00:00:00,27,nuvens dispersas,36,3663517
Manaus,2024-06-05 03:00:00,26,nublado,84,3663517
Manaus,2024-06-05 06:00:00,25,nuvens dispersas,40,3663517
Manaus,2024-06-05 09:00:00,24,algumas nuvens,12,3663517
Manaus,2024-06-05 12:00:00,27,algumas nuvens,17,3663517
Manaus,2024-06-05 15:00:00,31,algumas nuvens,12,3663517
Manaus,2024-06-05 18:00:00,33,algumas nuvens,14,3663517
Manaus,2024-06-05 21:00:00,28,chuva leve,80,3663517
Manaus,2024-06-06 00:00:00,25,chuva leve,48,3663517
Manaus,2024-06-06 03:00:00,25,chuva leve,85,3663517
Manaus,2024-06-06 06:00:00,24,chuva leve,88,3663517
Manaus,2024-06-06 09:00:00,24,nublado,95,3663517
Manaus,2024-06-06 12:00:00,25,nublado,97,3663517
Manaus,2024-06-06 15:00:00,30,nublado,94,3663517
Manaus,2024-06-06 18:00:00,31,chuva leve,82,3663517
Manaus,2024-06-06 21:00:00,29,chuva leve,49,3663517
Belém,2024-06-02 00:00:00,24,chuva moderada,64,3405870
Belém,2024-06-02 03:00:00,24,chuva leve,62,3405870
Belém,2024-06-02 06:00:00,23,nuvens dispersas,41,3405870
Belém,2024-06-02 09:00:00,23,algumas nuvens,20,3405870
Belém,2024-06-02 12:00:00,27,algumas nuvens,17,3405870
Belém,2024-06-02 15:00:00,32,céu limpo,10,3405870
Belém,2024-06-02 18:00:00,28,chuva leve,46,3405870
Belém,2024-06-02 21:00:00,26,chuva leve,30,3405870
Belém,2024-06-03 00:00:00,24,chuva leve,64,3405870
Belém,2024-06-03 03:00:00,23,nublado,70,3405870
Belém,2024-06-03 06:00:00,23,nublado,86,3405870
Belém,2024-06-03 09:00:00,23,chuva leve,50,3405870
Belém,2024-06-03 12:00:00,28,nublado,52,3405870
Belém,2024-06-03 15:00:00,32,chuva leve,49,3405870
Belém,2024-06-03 18:00:00,31,chuva leve,72,3405870
Belém,2024-06-03 21:00:00,26,chuva leve,57,3405870
Belém,2024-06-04 00:00:00,25,chuva leve,79,3405870
Belém,2024-06-04 03:00:00,24,chuva leve,100,3405870
Belém,2024-06-04 06:00:00,24,nublado,100,3405870
Belém,2024-06-04 09:00:00,24,nublado,93,3405870
Belém,2024-06-04 12:00:00,28,nublado,58,3405870
Belém,2024-06-04 15:00:00,32,algumas nuvens,16,3405870
Belém,2024-06-04 18:00:00,30,chuva leve,42,3405870
Belém,2024-06-04 21:00:00,25,chuva moderada,54,3405870
Belém,2024-06-05 00:00:00,24,chuva leve,55,3405870
Belém,2024-06-05 03:00:00,23,chuva leve,55,3405870
Belém,2024-06-05 06:00:00,23,chuva leve,40,3405870
Belém,2024-06-05 09:00:00,23,nuvens dispersas,27,3405870
Belém,2024-06-05 12:00:00,27,nublado,51,3405870
Belém,2024-06-05 15:00:00,30,chuva leve,50,3405870
Belém,2024-06-05 18:00:00,30,chuva leve,71,3405870
Belém,2024-06-05 21:00:00,25,chuva moderada,66,3405870
Belém,2024-06-06 00:00:00,24,chuva moderada,60,3405870
Belém,2024-06-06 03:00:00,23,chuva leve,46,3405870
Belém,2024-06-06 06:00:00,23,chuva leve,55,3405870
Belém,2024-06-06 09:00:00,23,nuvens dispersas,40,3405870
Belém,2024-06-06 12:00:00,27,nuvens dispersas,32,3405870
Belém,2024-06-06 15:00:00,32,nublado,96,3405870
Belém,2024-06-06 18:00:00,26,chuva leve,90,3405870
Belém,2024-06-06 21:00:00,25,chuva leve,34,3405870
Porto Velho,2024-06-02 00:00:00,27,algumas nuvens,14,3662762
Porto Velho,2024-06-02 03:00:00,26,nublado,55,3662762
Porto Velho,2024-06-02 06:00:00,25,nublado,87,3662762
Porto Velho,2024-06-02 09:00:00,22,nublado,63,3662762
Porto Velho,2024-06-02 12:00:00,25,nublado,68,3662762
Porto Velho,2024-06-02 15:00:00,32,nublado,84,3662762
Porto Velho,2024-06-02 18:00:00,35,nuvens dispersas,46,3662762
Porto Velho,2024-06-02 21:00:00,31,nuvens dispersas,39,3662762
Porto Velho,2024-06-03 00:00:00,28,nublado,72,3662762
Porto Velho,2024-06-03 03:00:00,25,nuvens dispersas,43,3662762
Porto Velho,2024-06-03 06:00:00,25,nublado,56,3662762
Porto Velho,2024-06-03 09:00:00,24,nublado,99,3662762
Porto Velho,2024-06-03 12:00:00,26,nublado,100,3662762
Porto Velho,2024-06-03 15:00:00,31,nublado,92,3662762
Porto Velho,2024-06-03 18:00:00,33,nublado,87,3662762
Porto Velho,2024-06-03 21:00:00,31,nublado,70,3662762
Porto Velho,2024-06-04 00:00:00,26,nublado,86,3662762
Porto Velho,2024-06-04 03:00:00,24,nublado,68,3662762
Porto Velho,2024-06-04 06:00:00,23,nublado,77,3662762
Porto Velho,2024-06-04 09:00:00,23,nublado,100,3662762
Porto Velho,2024-06-04 12:00:00,25,nublado,100,3662762
Porto Velho,2024-06-04 15:00:00,32,nublado,84,3662762
Porto Velho,2024-06-04 18:00:00,35,nublado,80,3662762
Porto Velho,2024-06-04 21:00:00,31,nublado,75,3662762
Porto Velho,2024-06-05 00:00:00,27,nublado,65,3662762
Porto Velho,2024-06-05 03:00:00,26,nublado,99,3662762
Porto Velho,2024-06-05 06:00:00,23,nublado,75,3662762
Porto Velho,2024-06-05 09:00:00,22,nublado,57,3662762
Porto Velho,2024-06-05 12:00:00,25,nublado,60,3662762
Porto Velho,2024-06-05 15:00:00,33,nublado,81,3662762
Porto Velho,2024-06-05 18:00:00,36,nublado,88,3662762
Porto Velho,2024-06-05 21:00:00,32,nublado,90,3662762
Porto Velho,2024-06-06 00:00:00,27,nublado,94,3662762
Porto Velho,2024-06-06 03:00:00,24,nublado,100,3662762
Porto Velho,2024-06-06 06:00:00,24,nublado,100,3662762
Porto Velho,2024-06-06 09:00:00,22,nublado,95,3662762
Porto Velho,2024-06-06 12:00:00,25,nublado,97,3662762
Porto Velho,2024-06-06 15:00:00,34,nublado,100,3662762
Porto Velho,2024-06-06 18:00:00,36,nublado,89,3662762
Porto Velho,2024-06-06 21:00:00,32,nuvens dispersas,45,3662762
Boa Vista,2024-06-02 00:00:00,26,chuva leve,60,3664980
Boa Vista,2024-06-02 03:00:00,25,chuva leve,80,3664980
Boa Vista,2024-06-02 06:00:00,24,chuva leve,100,3664980
Boa Vista,2024-06-02 09:00:00,23,chuva leve,63,3664980
Boa Vista,2024-06-02 12:00:00,25,chuva leve,67,3664980
Boa Vista,2024-06-02 15:00:00,27,chuva moderada,64,3664980
Boa Vista,2024-06-02 18:00:00,29,chuva leve,78,3664980
Boa Vista,2024-06-02 21:00:00,28,chuva leve,100,3664980
Boa Vista,2024-06-03 00:00:00,25,chuva leve,100,3664980
Boa Vista,2024-06-03 03:00:00,24,chuva leve,99,3664980
Boa Vista,2024-06-03 06:00:00,23,chuva leve,100,3664980
Boa Vista,2024-06-03 09:00:00,23,chuva leve,100,3664980
Boa Vista,2024-06-03 12:00:00,25,chuva leve,100,3664980
Boa Vista,2024-06-03 15:00:00,29,chuva leve,100,3664980
Boa Vista,2024-06-03 18:00:00,31,nublado,100,3664980
Boa Vista,2024-06-03 21:00:00,29,nublado,63,3664980
Boa Vista,2024-06-04 00:00:00,27,nublado,82,3664980
Boa Vista,2024-06-04 03:00:00,25,chuva leve,55,3664980
Boa Vista,2024-06-04 06:00:00,24,chuva leve,44,3664980
Boa Vista,2024-06-04 09:00:00,24,chuva leve,82,3664980
Boa Vista,2024-06-04 12:00:00,25,nublado,90,3664980
Boa Vista,2024-06-04 15:00:00,30,chuva leve,15,3664980
Boa Vista,2024-06-04 18:00:00,31,chuva leve,22,3664980
Boa Vista,2024-06-04 21:00:00,29,chuva leve,19,3664980
Boa Vista,2024-06-05 00:00:00,25,chuva leve,25,3664980
Boa Vista,2024-06-05 03:00:00,24,nublado,68,3664980
Boa Vista,2024-06-05 06:00:00,25,nublado,84,3664980
Boa Vista,2024-06-05 09:00:00,24,chuva leve,100,3664980
Boa Vista,2024-06-05 12:00:00,26,chuva leve,95,3664980
Boa Vista,2024-06-05 15:00:00,30,chuva leve,29,3664980
Boa Vista,2024-06-05 18:00:00,32,chuva leve,29,3664980
Boa Vista,2024-06-05 21:00:00,26,chuva leve,100,3664980
Boa Vista,2024-06-06 00:00:00,26,nublado,72,3664980
Boa Vista,2024-06-06 03:00:00,26,nublado,83,3664980
Boa Vista,2024-06-06 06:00:00,25,nublado,90,3664980
Boa Vista,2024-06-06 09:00:00,24,chuva leve,97,3664980
Boa Vista,2024-06-06 12:00:00,25,chuva leve,100,3664980
Boa Vista,2024-06-06 15:00:00,31,chuva leve,76,3664980
Boa Vista,2024-06-06 18:00:00,32,nuvens dispersas,42,3664980
Boa Vista,2024-06-06 21:00:00,30,nuvens dispersas,37,3664980
Palmas,2024-06-02 00:00:00,27,céu limpo,3,3474574
Palmas,2024-06-02 03:00:00,25,céu limpo,5,3474574
Palmas,2024-06-02 06:00:00,23,algumas nuvens,19,3474574
Palmas,2024-06-02 09:00:00,23,nublado,58,3474574
Palmas,2024-06-02 12:00:00,28,nuvens dispersas,31,3474574
Palmas,2024-06-02 15:00:00,33,céu limpo,1,3474574
Palmas,2024-06-02 18:00:00,35,céu limpo,0,3474574
Palmas,2024-06-02 21:00:00,28,algumas nuvens,22,3474574
Palmas,2024-06-03 00:00:00,26,algumas nuvens,14,3474574
Palmas,2024-06-03 03:00:00,24,céu limpo,6,3474574
Palmas,2024-06-03 06:00:00,24,nuvens dispersas,34,3474574
Palmas,2024-06-03 09:00:00,23,nublado,77,3474574
Palmas,2024-06-03 12:00:00,28,nublado,73,3474574
Palmas,2024-06-03 15:00:00,33,nublado,83,3474574
Palmas,2024-06-03 18:00:00,35,nublado,82,3474574
Palmas,2024-06-03 21:00:00,31,nublado,63,3474574
Palmas,2024-06-04 00:00:00,27,nublado,82,3474574
Palmas,2024-06-04 03:00:00,24,nublado,68,3474574
Palmas,2024-06-04 06:00:00,24,nublado,62,3474574
Palmas,2024-06-04 09:00:00,24,nublado,99,3474574
Palmas,2024-06-04 12:00:00,28,nublado,100,3474574
Palmas,2024-06-04 15:00:00,32,nublado,95,3474574
Palmas,2024-06-04 18:00:00,34,nublado,98,3474574
Palmas,2024-06-04 21:00:00,29,nublado,100,3474574
Palmas,2024-06-05 00:00:00,27,nublado,100,3474574
Palmas,2024-06-05 03:00:00,26,nublado,95,3474574
Palmas,2024-06-05 06:00:00,25,nublado,98,3474574
Palmas,2024-06-05 09:00:00,24,nublado,100,3474574
Palmas,2024-06-05 12:00:00,29,nublado,100,3474574
Palmas,2024-06-05 15:00:00,33,nublado,90,3474574
Palmas,2024-06-05 18:00:00,35,nublado,80,3474574
Palmas,2024-06-05 21:00:00,30,nublado,88,3474574
Palmas,2024-06-06 00:00:00,29,nublado,96,3474574
Palmas,2024-06-06 03:00:00,28,nublado,100,3474574
Palmas,2024-06-06 06:00:00,25,nublado,90,3474574
Palmas,2024-06-06 09:00:00,24,céu limpo,5,3474574
Palmas,2024-06-06 12:00:00,29,algumas nuvens,24,3474574
Palmas,2024-06-06 15:00:00,34,céu limpo,4,3474574
Palmas,2024-06-06 18:00:00,35,céu limpo,2,3474574
Palmas,2024-06-06 21:00:00,31,nuvens dispersas,36,3474574
Maceió,2024-06-02 00:00:00,25,chuva moderada,52,3395981
Maceió,2024-06-02 03:00:00,25,chuva moderada,26,3395981
Maceió,2024-06-02 06:00:00,25,chuva moderada,19,3395981
Maceió,2024-06-02 09:00:00,25,chuva moderada,27,3395981
Maceió,2024-06-02 12:00:00,26,chuva moderada,22,3395981
Maceió,2024-06-02 15:00:00,26,chuva moderada,12,3395981
Maceió,2024-06-02 18:00:00,25,chuva moderada,14,3395981
Maceió,2024-06-02 21:00:00,26,chuva leve,52,3395981
Maceió,2024-06-03 00:00:00,26,chuva leve,56,3395981
Maceió,2024-06-03 03:00:00,26,nublado,100,3395981
Maceió,2024-06-03 06:00:00,26,nublado,82,3395981
Maceió,2024-06-03 09:00:00,25,céu limpo,8,3395981
Maceió,2024-06-03 12:00:00,26,chuva leve,15,3395981
Maceió,2024-06-03 15:00:00,26,chuva leve,59,3395981
Maceió,2024-06-03 18:00:00,26,chuva leve,45,3395981
Maceió,2024-06-03 21:00:00,26,chuva leve,68,3395981
Maceió,2024-06-04 00:00:00,25,chuva leve,59,3395981
Maceió,2024-06-04 03:00:00,25,chuva leve,34,3395981
Maceió,2024-06-04 06:00:00,25,chuva leve,25,3395981
Maceió,2024-06-04 09:00:00,25,chuva leve,33,3395981
Maceió,2024-06-04 12:00:00,26,chuva leve,24,3395981
Maceió,2024-06-04 15:00:00,27,chuva leve,13,3395981
Maceió,2024-06-04 18:00:00,27,chuva leve,23,3395981
Maceió,2024-06-04 21:00:00,26,chuva leve,28,3395981
Maceió,2024-06-05 00:00:00,25,chuva leve,64,3395981
Maceió,2024-06-05 03:00:00,24,chuva moderada,96,3395981
Maceió,2024-06-05 06:00:00,24,chuva moderada,81,3395981
Maceió,2024-06-05 09:00:00,24,chuva moderada,35,3395981
Maceió,2024-06-05 12:00:00,25,chuva moderada,40,3395981
Maceió,2024-06-05 15:00:00,26,chuva moderada,94,3395981
Maceió,2024-06-05 18:00:00,26,chuva moderada,97,3395981
Maceió,2024-06-05 21:00:00,25,chuva leve,51,3395981
Maceió,2024-06-06 00:00:00,25,chuva leve,52,3395981
Maceió,2024-06-06 03:00:00,25,chuva leve,100,3395981
Maceió,2024-06-06 06:00:00,24,chuva moderada,78,3395981
Maceió,2024-06-06 09:00:00,24,chuva moderada,72,3395981
Maceió,2024-06-06 12:00:00,26,chuva leve,86,3395981
Maceió,2024-06-06 15:00:00,26,chuva leve,60,3395981
Maceió,2024-06-06 18:00:00,26,chuva leve,41,3395981
Maceió,2024-06-06 21:00:00,25,chuva moderada,52,3395981
Salvador,2024-06-02 00:00:00,30,chuva leve,75,3585968
Salvador,2024-06-02 03:00:00,26,chuva moderada,90,3585968
Salvador,2024-06-02 06:00:00,22,chuva moderada,100,3585968
Salvador,2024-06-02 09:00:00,21,nublado,100,3585968
Salvador,2024-06-02 12:00:00,21,chuva leve,100,3585968
Salvador,2024-06-02 15:00:00,26,chuva leve,80,3585968
Salvador,2024-06-02 18:00:00,32,chuva leve,90,3585968
Salvador,2024-06-02 21:00:00,30,chuva leve,98,3585968
Salvador,2024-06-03 00:00:00,25,chuva leve,95,3585968
Salvador,2024-06-03 03:00:00,22,chuva moderada,97,3585968
Salvador,2024-06-03 06:00:00,22,chuva moderada,99,3585968
Salvador,2024-06-03 09:00:00,21,chuva leve,100,3585968
Salvador,2024-06-03 12:00:00,21,nublado,100,3585968
Salvador,2024-06-03 15:00:00,27,nublado,100,3585968
Salvador,2024-06-03 18:00:00,31,chuva leve,91,3585968
Salvador,2024-06-03 21:00:00,31,chuva leve,73,3585968
Salvador,2024-06-04 00:00:00,24,chuva leve,80,3585968
Salvador,2024-06-04 03:00:00,22,chuva leve,87,3585968
Salvador,2024-06-04 06:00:00,22,nublado,91,3585968
Salvador,2024-06-04 09:00:00,21,chuva leve,93,3585968
Salvador,2024-06-04 12:00:00,21,nublado,97,3585968
Salvador,2024-06-04 15:00:00,26,nublado,97,3585968
Salvador,2024-06-04 18:00:00,29,chuva leve,97,3585968
Salvador,2024-06-04 21:00:00,28,chuva leve,99,3585968
Salvador,2024-06-05 00:00:00,24,chuva leve,100,3585968
Salvador,2024-06-05 03:00:00,22,chuva leve,100,3585968
Salvador,2024-06-05 06:00:00,21,chuva leve,97,3585968
Salvador,2024-06-05 09:00:00,21,nublado,82,3585968
Salvador,2024-06-05 12:00:00,21,nublado,91,3585968
Salvador,2024-06-05 15:00:00,27,chuva leve,94,3585968
Salvador,2024-06-05 18:00:00,28,chuva leve,97,3585968
Salvador,2024-06-05 21:00:00,29,nublado,98,3585968
